SECOND_FLD,review-count
12377_26963,458.0
12377_26964,1.0
12377_26965,586.0
12377_26966,11.0
12377_26967,140.0
12377_26968,6.0
12377_26972,40.0
12377_26975,0.0
12377_26977,0.0
12377_26981,2.0
12377_26983,22.0
12377_26986,409.0
12377_26990,1.0
12377_26991,0.0
12377_26996,5.0
12377_27000,0.0
12377_27001,0.0
12377_27011,0.0
12377_27018,0.0
12377_27020,6.0
12377_27021,93.0
12377_27043,20.0
12377_27047,58.0
12377_27048,0.0
12377_27056,5.0
12378_26945,2.0
12378_26949,0.0
12378_26951,0.0
12378_26952,199.0
12378_26954,25.0
12378_26955,29.0
12378_26957,22.0
12378_26958,0.0
12378_26959,1123.0
12378_26960,156.0
12378_26961,92.0
12378_26962,6815.0
12378_26963,8205.0
12378_26964,7494.0
12378_26965,629.0
12378_26966,1343.0
12378_26967,3.0
12378_26968,2.0
12378_26969,2.0
12378_26973,0.0
12378_26974,141.0
12378_26975,3.0
12378_26979,2.0
12378_26981,628.0
12378_26982,2.0
12378_26983,68.0
12378_26984,1.0
12378_26999,18.0
12378_27001,32.0
12378_27003,0.0
12378_27020,14.0
12378_27043,165.0
12378_27044,349.0
12378_27048,21.0
12378_27057,0.0
12378_27058,4.0
12379_26947,7.0
12379_26951,2.0
12379_26952,13.0
12379_26956,0.0
12379_26957,45.0
12379_26959,4.0
12379_26960,6.0
12379_26961,305.0
12379_26962,3976.0
12379_26963,9770.0
12379_26964,7024.0
12379_26965,2926.0
12379_26966,517.0
12379_26967,0.0
12379_26968,0.0
12379_26969,22.0
12379_26971,136.0
12379_26973,12.0
12379_26974,1.0
12379_26975,62.0
12379_26977,0.0
12379_26978,0.0
12379_26979,87.0
12379_26982,0.0
12379_26986,99.0
12379_26989,4.0
12379_26991,0.0
12379_26998,0.0
12379_26999,1.0
12379_27000,0.0
12379_27001,67.0
12379_27002,44.0
12379_27003,0.0
12379_27007,75.0
12379_27008,0.0
12379_27010,5.0
12379_27013,0.0
12379_27019,1.0
12379_27040,0.0
12379_27048,5.0
12379_27049,2.0
12379_27051,0.0
12379_27056,0.0
12379_27058,0.0
12379_27062,0.0
12380_26933,235.0
12380_26952,150.0
12380_26959,4.0
12380_26960,22.0
12380_26961,185.0
12380_26962,2847.0
12380_26963,50521.0
12380_26964,4258.0
12380_26965,3200.0
12380_26967,1476.0
12380_26968,19.0
12380_26969,8.0
12380_26971,17.0
12380_26973,0.0
12380_26974,55.0
12380_26975,62.0
12380_26976,29.0
12380_26977,0.0
12380_26978,8.0
12380_26979,0.0
12380_26981,413.0
12380_26983,65.0
12380_26984,31.0
12380_26986,289.0
12380_26987,0.0
12380_26988,77.0
12380_26989,43.0
12380_26992,0.0
12380_26993,68.0
12380_26994,0.0
12380_26995,0.0
12380_26996,48.0
12380_26997,0.0
12380_26998,2.0
12380_26999,7.0
12380_27000,0.0
12380_27001,1112.0
12380_27002,138.0
12380_27003,157.0
12380_27006,0.0
12380_27008,3.0
12380_27010,1.0
12380_27034,1.0
12380_27046,29.0
12380_27050,8.0
12380_27051,44.0
12380_27052,0.0
12380_27055,2.0
12380_27056,52.0
12381_26933,26.0
12381_26948,17.0
12381_26956,1.0
12381_26958,0.0
12381_26959,13.0
12381_26960,37.0
12381_26961,76.0
12381_26962,201.0
12381_26963,260.0
12381_26964,1454.0
12381_26965,4.0
12381_26967,5.0
12381_26968,0.0
12381_26971,19.0
12381_26972,0.0
12381_26973,0.0
12381_26974,0.0
12381_26975,0.0
12381_26978,6.0
12381_26979,0.0
12381_26980,1.0
12381_26982,2.0
12381_26983,1026.0
12381_26984,49.0
12381_26985,0.0
12381_26986,0.0
12381_26988,0.0
12381_26998,0.0
12381_27000,22.0
12381_27001,318.0
12381_27002,36.0
12381_27003,17.0
12381_27007,3.0
12381_27008,153.0
12381_27037,1.0
12381_27038,0.0
12381_27052,8.0
12381_27053,18.0
12381_27055,1.0
12381_27057,0.0
12381_27061,0.0
12381_27062,0.0
12381_27063,2.0
12381_27065,14.0
12382_26932,0.0
12382_26944,3.0
12382_26956,1359.0
12382_26959,2.0
12382_26960,80.0
12382_26962,4.0
12382_26963,34.0
12382_26964,26.0
12382_26965,0.0
12382_26966,83.0
12382_26967,34.0
12382_26968,3.0
12382_26971,0.0
12382_26978,0.0
12382_26979,14.0
12382_26984,8.0
12382_26995,0.0
12382_26997,3.0
12382_26998,3.0
12382_27000,0.0
12382_27001,0.0
12382_27002,47.0
12382_27005,0.0
12382_27007,0.0
12382_27008,95.0
12382_27010,0.0
12382_27011,10.0
12382_27012,0.0
12382_27015,0.0
12382_27021,27.0
12382_27033,1.0
12382_27034,77.0
12382_27043,1.0
12382_27047,8.0
12382_27060,12.0
12382_27063,16.0
12383_26944,7.0
12383_26945,5.0
12383_26947,12.0
12383_26953,6.0
12383_26955,38.0
12383_26956,75.0
12383_26957,60.0
12383_26958,25.0
12383_26959,1.0
12383_26960,3.0
12383_26961,74.0
12383_26962,11.0
12383_26963,34.0
12383_26964,59.0
12383_26965,0.0
12383_26966,95.0
12383_26967,0.0
12383_26968,0.0
12383_26977,1.0
12383_26978,48.0
12383_26979,165.0
12383_26980,86.0
12383_26983,9.0
12383_26985,0.0
12383_26988,0.0
12383_26989,46.0
